plate	round	sample_fp	well	channel
1	1	/archive/cheeseman/brieflow_screens/cotopaxi/input_ph/20220629_165010_675/WellA1_ChannelA594_1x1_Seq0001.nd2	A1	A594_1x1
1	1	/archive/cheeseman/brieflow_screens/cotopaxi/input_ph/20220629_165010_675/WellA1_ChannelAF750_1x1_Seq0000.nd2	A1	AF750_1x1
1	1	/archive/cheeseman/brieflow_screens/cotopaxi/input_ph/20220629_165010_675/WellA1_ChannelGFP_1x1-DAPI_1x1_Seq0002.nd2	A1	GFP_1x1-DAPI_1x1
1	1	/archive/cheeseman/brieflow_screens/cotopaxi/input_ph/20220629_165010_675/WellA2_ChannelA594_1x1_Seq0004.nd2	A2	A594_1x1
1	1	/archive/cheeseman/brieflow_screens/cotopaxi/input_ph/20220629_165010_675/WellA2_ChannelAF750_1x1_Seq0003.nd2	A2	AF750_1x1
1	1	/archive/cheeseman/brieflow_screens/cotopaxi/input_ph/20220629_165010_675/WellA2_ChannelGFP_1x1-DAPI_1x1_Seq0005.nd2	A2	GFP_1x1-DAPI_1x1
1	1	/archive/cheeseman/brieflow_screens/cotopaxi/input_ph/20220629_165010_675/WellA3_ChannelA594_1x1_Seq0007.nd2	A3	A594_1x1
1	1	/archive/cheeseman/brieflow_screens/cotopaxi/input_ph/20220629_165010_675/WellA3_ChannelAF750_1x1_Seq0006.nd2	A3	AF750_1x1
1	1	/archive/cheeseman/brieflow_screens/cotopaxi/input_ph/20220629_165010_675/WellA3_ChannelGFP_1x1-DAPI_1x1_Seq0008.nd2	A3	GFP_1x1-DAPI_1x1
1	1	/archive/cheeseman/brieflow_screens/cotopaxi/input_ph/20220629_165010_675/WellB1_ChannelA594_1x1_Seq0016.nd2	B1	A594_1x1
1	1	/archive/cheeseman/brieflow_screens/cotopaxi/input_ph/20220629_165010_675/WellB1_ChannelAF750_1x1_Seq0015.nd2	B1	AF750_1x1
1	1	/archive/cheeseman/brieflow_screens/cotopaxi/input_ph/20220629_165010_675/WellB1_ChannelGFP_1x1-DAPI_1x1_Seq0017.nd2	B1	GFP_1x1-DAPI_1x1
1	1	/archive/cheeseman/brieflow_screens/cotopaxi/input_ph/20220629_165010_675/WellB2_ChannelA594_1x1_Seq0013.nd2	B2	A594_1x1
1	1	/archive/cheeseman/brieflow_screens/cotopaxi/input_ph/20220629_165010_675/WellB2_ChannelAF750_1x1_Seq0012.nd2	B2	AF750_1x1
1	1	/archive/cheeseman/brieflow_screens/cotopaxi/input_ph/20220629_165010_675/WellB2_ChannelGFP_1x1-DAPI_1x1_Seq0014.nd2	B2	GFP_1x1-DAPI_1x1
1	1	/archive/cheeseman/brieflow_screens/cotopaxi/input_ph/20220629_165010_675/WellB3_ChannelA594_1x1_Seq0010.nd2	B3	A594_1x1
1	1	/archive/cheeseman/brieflow_screens/cotopaxi/input_ph/20220629_165010_675/WellB3_ChannelAF750_1x1_Seq0009.nd2	B3	AF750_1x1
1	1	/archive/cheeseman/brieflow_screens/cotopaxi/input_ph/20220629_165010_675/WellB3_ChannelGFP_1x1-DAPI_1x1_Seq0011.nd2	B3	GFP_1x1-DAPI_1x1
