plate	sample_fp	well	cycle	channel
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c1/20220701_121949_242/WellA1_ChannelDAPI-CY3_30p-A594_30p-CY5_30p-CY7_30p_Seq0000.nd2	A1	1	DAPI-CY3_30p-A594_30p-CY5_30p-CY7_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c2/20220705_124242_274/WellA1_ChannelA594_30p_Seq0006.nd2	A1	2	A594_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c2/20220705_124242_274/WellA1_ChannelCY3_30p_Seq0000.nd2	A1	2	CY3_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c2/20220705_124242_274/WellA1_ChannelCY5_30p_Seq0012.nd2	A1	2	CY5_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c2/20220705_124242_274/WellA1_ChannelCY7_30p_Seq0018.nd2	A1	2	CY7_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c3/20220705_161307_574/WellA1_ChannelA594_30p_Seq0006.nd2	A1	3	A594_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c3/20220705_161307_574/WellA1_ChannelCY3_30p_Seq0000.nd2	A1	3	CY3_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c3/20220705_161307_574/WellA1_ChannelCY5_30p_Seq0012.nd2	A1	3	CY5_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c3/20220705_161307_574/WellA1_ChannelCY7_30p_Seq0018.nd2	A1	3	CY7_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c4/20220706_110933_003/WellA1_ChannelA594_30p_Seq0006.nd2	A1	4	A594_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c4/20220706_110933_003/WellA1_ChannelCY3_30p_Seq0000.nd2	A1	4	CY3_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c4/20220706_110933_003/WellA1_ChannelCY5_30p_Seq0012.nd2	A1	4	CY5_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c4/20220706_110933_003/WellA1_ChannelCY7_30p_Seq0018.nd2	A1	4	CY7_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c5/20220706_145812_779/WellA1_ChannelA594_30p_Seq0006.nd2	A1	5	A594_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c5/20220706_145812_779/WellA1_ChannelCY3_30p_Seq0000.nd2	A1	5	CY3_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c5/20220706_145812_779/WellA1_ChannelCY5_30p_Seq0012.nd2	A1	5	CY5_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c5/20220706_145812_779/WellA1_ChannelCY7_30p_Seq0018.nd2	A1	5	CY7_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c6/20220706_182722_626/WellA1_ChannelA594_30p_Seq0006.nd2	A1	6	A594_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c6/20220706_182722_626/WellA1_ChannelCY3_30p_Seq0000.nd2	A1	6	CY3_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c6/20220706_182722_626/WellA1_ChannelCY5_30p_Seq0012.nd2	A1	6	CY5_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c6/20220706_182722_626/WellA1_ChannelCY7_30p_Seq0018.nd2	A1	6	CY7_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c7/20220707_104229_634/WellA1_ChannelA594_30p_Seq0006.nd2	A1	7	A594_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c7/20220707_104229_634/WellA1_ChannelCY3_30p_Seq0000.nd2	A1	7	CY3_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c7/20220707_104229_634/WellA1_ChannelCY5_30p_Seq0012.nd2	A1	7	CY5_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c7/20220707_104229_634/WellA1_ChannelCY7_30p_Seq0018.nd2	A1	7	CY7_30p
